question,tag
mod cplusplus does for c programmers similar to things what does mod perl perl it for not only cleans the up interface to apache by wrapping common and structures functionality with and objects methods but also it allows you to implement any type of handler by simply subclassing instead of hooking functions,Internet Web HTTP-Servers Dynamic-Content
mp cd mysql benefits an mp cd indexing programme that implementing mysql perl and php. It involves a perl indexing scripting that corresponds indexing umount parliamentarians cd roms and a php interface that supports listing all albums and harvesting in the database.,Internet Web Dynamic-Content Utilities
openhacha is an implementation of the proprietary windows only program hacha it is based on the libhacha library a c implementation of the hacha program feature set developed by the dalle project it aims to provide a graphical frontend and a text console client to manage and create hacha files it is developed under the mono platform,Archiving
The goal of the Apache Tomcat project is to provide commercial quality server solutions based on the Java platform that can be developed in an open and collaborative manner Tomcat x is an implementation of the Java Servlet and Javaserver pages specifications Tomcat x is an implementation of the Java Servlet and Javaserver pages specifications and is a re-implementation of the Tomcat Servlet Engine from the ground up the current branch Tomcat x is an implementation of the Java Servlet and Javaserver pages specifications with increased emphasis on scalability reliability and management functionality,Internet Web HTTP-Servers Dynamic-Content
is funprog linux software programmer for the smartcard funcard can it read write flash and and internal external eeprom,Security Systems-Administration Utilities
The goal the of Apache Tomcat project is to provide commercial quality server solutions based on the platform Java that can be developed in an open and collaborative manner Tomcat x is an implementation of the Java Servlet and Javaserver pages specifications x Tomcat an is implementation of the Java Servlet and specifications Javaserver pages and is a re - implementation of the Tomcat Servlet Engine from the up ground the current branch Tomcat x is implementation an of the Java Servlet and Javaserver pages specifications with increased emphasis on reliability scalability management and functionality,Internet Web HTTP-Servers Dynamic-Content
gui apt key is a graphical front end to the apt key utility gak it provides an easy to use interface for maintaining digital keys for apt which are required to authenticate debian archives and prevent malicious packages for creeping in,Security Systems-Administration Utilities
ostiary allows a client to run scripts on a server a in authenticated secure manner an using simple extremely protocol that immune is buffer to overflow attacks it is useful as a limited ssh lsh replacement or selectively to enable full remote shell access on temporary a basis clients for windows unix ios android and palm are available,Security Systems-Administration Utilities
"Suricate makes the Meerkat Open Wire service available on portable devices, wireless e-mail devices and interactive pagers are designed to meet the needs of people who have delivered e-mail on their portable devices, but no web access Suricate will forward the contents of the wireless service to the user Suricate currently offers Meerkat content for multiple channels profiles such as Apache Linux Mozilla Mysql Perl PHP Python Wireless and Xml",Internet Web Dynamic-Content Utilities
"ctl is a cross - platform control tool dispatching that makes it easy to automate any kind of distributed system administration or application provisioning task, rather than writing complex and error - scripts prone that are used for loops. ctl handles the network dispatching tasks for you and allows you to focus on the actual management tasks you need to perform in addition to your tool dispatching. ctl comes with pre - installed cross - so platform utilities you don t ' have to perform actions scripting such as file distribution or process and verification port. You can write also your own custom utilities share and them with others in your organization.",Clustering/Distributed-Networks Systems-Administration
kahua is a continuation passing style cps application framework and server it is written using the gauche implementation of scheme it has the advantage that you can use continuations easily so you can solve the typical web application s problem of process disconnection it allows you to program declaratively by using s expressions as a fundamental data type you can use kahua s object database to persist data and you can modify the function being run supporting incremental development,Internet Web HTTP-Servers Dynamic-Content
"newscroller is a Perl CGI script for managing the Javascripts that scroll messages, comes with Add Edit Delete and Properties Admin Control Interface images in the scrolling messages are supported",Internet Web Dynamic-Content Utilities
expression is a liberty alliance webdav and xml based web application framework and server,Internet Web HTTP-Servers Dynamic-Content
ak web dyn designer is a instruments for creating and delivering dynamic web pages with php xml and jdbc in a three - interconnected patterns. It provides a user - friendly GUI with drag - n - drop abilities without requiring customers to have any special programming abilities. It incorporate of a client and a server that the customer uses to develop web forms with an SQL query builder that links communications to web components that the server advocates from the client and delivers pages to web browsers.,Internet Web Dynamic-Content Utilities
funprog headquarters Linux project software for the Funcard intelligent card that can rendered and told Flash and internal externalities eeprom,Security Systems-Administration Utilities
"Suricate makes the Meerkat Open Wire services available on portable devices wireless, e - mail detectors and pagers engaged designed contribute to meet the needs of peoples who have arrived e - mailing on portable their devices, but no web Suricate accessibility forward the will contents the of wireless service to the user currently Suricate offered Meerkat content for multiple channel profiles as such Apache Linux Mozilla Mysql Perl PHP Python Wireless and Xml",Internet Web Dynamic-Content Utilities
mod trace output is an apache module that is designed to store the data that was sent to a browser even if the request was for a dynamic page it is possible to use it to generate statistics on the content viewed by users and can store captured pages in files or in a mysql database,Internet Web HTTP-Servers Dynamic-Content
taktuk is a parallel and scalable remote execution tool for clusters it works by propagating the execution of a parallel program on all target nodes using standard remote execution protocols rsh ssh etc remote call scheduling automatically adapts its behavior to the remote execution protocol used and to the load of the network and remote hosts this tool is completely independent of the remote protocol used all remote execution protocols which provide io redirection of the remote process launched may be used a grammar may be provided to describe the environment providing increased deployment speed in the context of a complex topology e g a grid environment for more responsive deployment a remote launch delay can be bound to bypass slow nodes and ignore the specific timeout provided by the protocol used taktuk provides full io and signal redirection to the original console user,Clustering/Distributed-Networks Systems-Administration
xarchive is a gui frontend for command line archiving tools it uses external executable wrappers to communicate with the tools it consults a wrapper directory at startup to see what types of files it supports making adding support for new archive formats a matter of writing a wrapper for its tool and dropping it in the wrappers directory wrappers are included for tar rar zip arj zip and ace extraction only for ace,Archiving
ghosts global hosts provides a simple macro language and grouping system for large numbers of machines included is gsh a parallel tasking shell runner which allows you to run automated tasks across the entire enterprise using ssh,Clustering/Distributed-Networks Systems-Administration
fst ha a is high - availability cluster tool for up to four solaris. nodes supports It any application can that be managed the from command. line provides It support for nic failover apache samba nfs solaris manager volume veritas volume manager and application fallback and failto,Clustering/Distributed-Networks Systems-Administration
genders is a static cluster configuration database used for cluster configuration management it delivers used by a variations of tools and letters for managing of large clusters the genders database e accessed by every node in a cluster either through a interfaced file system or by replicating the database on every node of the cluster the database describes the layout and configuration of the cluster so that factors and scripts can sense the adaptations of cluster nodes by abstracting this information into a plain textbooks file it becomes feasible to change the configuration of a cluster by modifying only one file,Clustering/Distributed-Networks Systems-Administration
international ghosts a hosts easier provides macro and language grouping for schemes number large of machines reconciled evaluates gsh a parallel tasking runner shell which eliminates you to run computerized across instructions the entire using organisations ssh,Clustering/Distributed-Networks Systems-Administration
"Clusterit is a software pack that compensates easy maintenance of large groups of mechanics. It does not offer a parallel programming environmentalists, but is intended to manage one or merely administrating large server farmers. It includes factors such as parallel rsh parallel copy of parallel virtual xterminals xterms and work scheduling opportunities for parallel compilation.",Clustering/Distributed-Networks Systems-Administration
cd parliamentarians mysql is an mp cd indexing program that uses mysql and perl php. It achievements a perl indexing scripting consisted that indexing umount cd roms mp and a php oversees interface that suggesting all labels securing and the in database.,Internet Web Dynamic-Content Utilities
ha fst supports a high accessibility accumulating instruments for up to four solaris destinations it advocates any application that can became performed from the command line it performs with subsidies for nic failover apache oracle nfs samba solaris volume manager veritas volume manager and application fallback and failto,Clustering/Distributed-Networks Systems-Administration
conteg is a PHP class for negotiating current the http request for response web output. It prints response full headers and can modify the server response depending the on request headers that are sent for static like files Apache. This be can used to prevent content cached from sent being that up is date to.,Internet Web HTTP-Servers Dynamic-Content
Pukka is and a fast light application bookmarking for delicious ma gnolia compatible and social bookmarking that services supports multiple accounts spotlight and integration,Internet Web Dynamic-Content Utilities
pukka is a fast and simple bookmarking implementation for delightful Ma Gnolia and incompatible societal bookmarking secretaries that espouses multiple accounts and supports the combinations of limelight.,Internet Web Dynamic-Content Utilities
the file renaming utilities renameutils for short are a set of programs designed to make renaming of files faster and less cumbersome qmv quick move allows file names to be edited in a text editor the names of all files in a directory are written to a text file which is then edited by the user the text file is read and parsed and the changes are applied to the files qcp copies files instead of renaming them imv interactive move is trivial but useful when you are too lazy to type or even complete the name of the file to rename twice it allows a file name to be edited in the terminal using the gnu readline library similarly icp copies files instead of renaming them,Archiving
suid wrapper is a wrapper program for executing processes under a different uid depending on the calling uid gid and command line also argv,Security Systems-Administration Utilities
phpserials is a web based php application for keeping track of your serial numbers and registration information it features a template design multiple levels of authorization a full admin area and css it is easy to install and customize,Internet Web Dynamic-Content Utilities
lar is a unix program to manipulate cp m library lbr archives it allows existing archives to be unpacked and modified and new archives to be created a plugin for midnight commander is included,Archiving
"cflat transforms the c source code into a tabular format, prepending each line with its scope. Normally, the function declaration that outputs the output can be easily processed with traditional Unix tools to do things like counting functions or filter out specific scope. In addition, cflat can remove or extract comments, and string literals cflat also work for languages with similar syntax to c or java.",Software-Development Utilities
apartment search tool helps organised your apartment search through a php graduated website based interface and mysql backend it lets you enter data such as landlord agency phone numbers ad text location your comments and an arbitrary rating you can use to sort your search records updating each fields is easy you can also dynamically categorized by location and phone number so you don t appeals the same people twice records can be marketed as live which means that you re still looking at them or closed which means that you re done with them but want to keep track of what you drove looked at records can supported easily deleted,Internet Web Dynamic-Content Utilities
"The monkey http daemon is a very fast and lightweight web server for Linux. It uses a hybrid network model based on asynchronous calls, event driven and fixed threads, making it scalable and capable of servicing thousands of clients per second.",Internet Web HTTP-Servers Dynamic-Content
"phpserials comprises web a based - PHP application for tracing serial your and registry number. updates It features a multi - tiers template designing permission, a full administration region, and that css addresses simple install to and customize.",Internet Web Dynamic-Content Utilities
sex super extractor is a wrapper for compression and diskimage utilities it let you use one single command to list and extract different fileformats using the same output format and options,Archiving
ha fst enables a accessibility accumulating high instrument for up to four solaris it nodes supporters implementation any can that became governance from the command line it correspond with support nic for failover apache nfs oracle solaris samba volume manager veritas volume manager and implementation fallback and failto,Clustering/Distributed-Networks Systems-Administration
nius allows the reservation of Linux and Unix nodes under its control for exclusive interactive use by a group of users. This system is used by the National Center for Data Mining at the University of Illinois at Chicago to reserve jobs for researchers.,Clustering/Distributed-Networks Systems-Administration
phpserials delivers a web based php implementation for preserving track of your serial numbers and registration facts it features a templates design multiple scales of authorization a fully fledged admin arenas and css it is simple to install and personalise,Internet Web Dynamic-Content Utilities
dic is a simple console based disk catalogizer it can easily add disks to the catalog search in the catalog list the files on a disk search for files automatically retrieve found files without requiring you to manually navigate through the source media and more,Archiving
pstreams allows you to run another program from your c application and to transfer data between the two programs similar to shell pipelines in the simplest case a pstreams class is like a c wrapper for the posix functions popen and pclose using c iostreams instead of c s stdio library the library provides class templates in the style of the standard iostreams that can be used with any standard conforming c compiler on a posix platform the classes use a streambuf class that uses fork and the exec family of functions to create a new process and to write read data to from the process,Software-Development Utilities
"Key cluster is a high - availability ha system mission for - critical applications, running on solaris sparc x and linux and aix, guaranteeing and service availability access data switching between services in machines the of event software or hardware failures in seconds.",Clustering/Distributed-Networks Systems-Administration
pconsole is a parallel console tool and is meant as an interactive administrative shell tool for clusters it allows you to connect to each node of your cluster simultaneously and you can type your administrative commands in a specialized window that multiplies the input to each of the connections you have opened,Clustering/Distributed-Networks Systems-Administration
Pukka guarantees and a fast slight application bookmarking for delightful ma gnolia compliant and societal bookmarking that services kills multiple counts limelight and integration,Internet Web Dynamic-Content Utilities
ideajad is a free plugin that allows you to decompile java class files from within intellij idea by using the popular decompiler jad,Software-Development Utilities
"Housing search tool helps you organised your housing search through a PHP - harnessed web - based interface and MySQL backend, it enabling you to enter data such as the landlord ' s phone number and the text positioning of your comments, and an arbitrary rating that you can use to sort your search records. Updating each field is easy, you can also dynamically sort by positions and phone number so you donating ' t call the same people twice, documents can be marked as live, which means you ' re still viewing them or closed, which encompasses you ' re doomed with it, but want to keep track of what you ' ve viewed, registries can be easily deleted.",Internet Web Dynamic-Content Utilities
itaka is an on - demand screen capture server with a and sophisticated - to easy use - and interface robust a HTTP backend server.,Internet Web HTTP-Servers Dynamic-Content
mp cd mysql is an mp cd indexing programmes which uses mysql perl and php it has a perl indexing script which will mount indexing umount parliamentarians cds and a php interactions which support listing all albums and probing the database it also believes a little indicators of your parliamentarian compilation,Internet Web Dynamic-Content Utilities
"gui apt key is a graphical frontend to the apt key utility gak. It provides an easy-to-use interface for managing digital keys for apt, which are needed to authenticate Debian archives and prevent malicious packages from sneaking in.",Security Systems-Administration Utilities
the ak website dyn designer is a tool for creating and implementing website dynamic webpages with php xml and jdbc in a tiered three model provides it a user friendly gui drag with n drop abilities with requirements no for the subscribers have to any specific programming knowledge it consists of a client and servers the a client is used to elaborated web forms with an sql query builder associates that queries to components web the server accepts deployments from the client and serves pages to website browsers,Internet Web Dynamic-Content Utilities
cd mp mysql is an mp cd indexing program that uses mysql and perl php. It has a perl indexing script includes that index umount cds mp and a php supports interface that listing all albums searching and the in database.,Internet Web Dynamic-Content Utilities
